일련번호,번호,명칭,명칭(원문),요약,요약(원문),출원인,출원인영문명,출원인국가,출원인대표명,발명자,국제특허분류,공통특허분류,미국특허분류,출원번호,출원일,공개번호,공개일,공고번호,공고일,등록번호,등록일,우선권번호,국제출원번호,국제출원일,국제공개번호,국제공개일,INPADOC 패밀리,심사관,대리인,지정국가,독립 청구항수,전체 청구항수,대표 청구항,대표 청구항(원문),전체 청구항,전체 청구항(원문),권리 현황,최종 상태,현재소유자,권리만료예상일,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,특허평가점수,발명자평가평균등급,발명자평가평균점수,FI,F-Term,INPADOC패밀리수,INPADOC패밀리국가수,발명자수,Genealogy수,INPADOC패밀리국가,소유권이전여부,소유권최종양도일,특허전문 Link
1,USD637825,Child car seat,,,,"Max-Inf (Ningbo) Baby Product Co., Ltd.",,CN,MAX INF BABY PRODUCT CO LTD,Xu; Lihong|Xiao; Gangsheng|Liu; Mingjun,601,,D06/333,US29/380973,2010.12.14,,,,,USD637825,2011.05.17,CN 2010 3 0218470 (2010.06.18),,,,,USD637825S,Veynar; Caron D|Bahta; Abraham,Blank Rome LLP,,1,1,"The ornamental design for a child car seat, as shown and described.",,"The ornamental design for a child car seat, as shown and described.",,Alive,Alive,MAX INF BABY PRODUCT CO LTD,2025.05.17,"USD317534,USD355986,USD413026,USD513888,USD534362,USD604054,USD620719",,,7,0,,,B-,3,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637825__?key=lEQ7cgkI3IvQhkge4UHIOe8B11ZL7m9r&site=FOCUST3-KR
2,USD637660,Race car,,,,"CTA Digital, Inc.",,US,CTA DIGITAL INC,Markowitz; Lipa,2101,,"D21/424, D21/550, D21/551",US29/367183,2010.08.04,,,,,USD637660,2011.05.10,,,,,,"CA136863S, USD637660S",Chin; Cynthia M,Levisohn Berger LLP,,1,1,"The ornamental design for a race car, as shown and described.",,"The ornamental design for a race car, as shown and described.",,Alive,Alive,CTA DIGITAL INC,2025.05.10,"USD255810,USD283829,USD302708,USD328479,USD330736,USD359082,USD368743,USD426270,USD432185,USD457926,USD465814,USD471936,USD503952,USD611998",,USD665703,14,1,,,B+,5,,,2,2,1,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637660__?key=lEQ7cgkI3IvQhkge4UHIOQzrTATPZPMb&site=FOCUST3-KR
3,USD637626,Track for a land vehicle,,,,Zakrytoe Aktsionernoe Obschestvo Nauchno- Proizvodstvennoe Obyedinenie Kompozit,,RU,ZAKRYTOE AKTSIONERNOE OBSCHESTVO NAUCHNO PROIZVODSTVENNOE OBYEDINENIE KOMPOZIT,Vladimirovich; Degtyarev Aleksandr,1503,,D15/028,US29/365406,2010.07.08,,,,,USD637626,2011.05.10,RU 2010501403 (2010.05.24),,,,,"CA137399S, USD637626S",Goodwin; Mark,"Notaro, Michalos & Zaccaria P.C.",,1,1,"The ornamental design for a track for a land vehicle, as shown and described.",,"The ornamental design for a track for a land vehicle, as shown and described.",,Alive,Alive,LLC COMPOSIT,2025.05.10,"USD216301,US3582154,USD222247,US3637267,US3754798,US3756668,USD242612,USD243517,USD260899,USD283206,USD298018,USD302017,USD376996,USD380419,USD386721,USD389428,USD389429,USD389430,USD389431,USD389432,USD389433,USD389434,USD389435,US5713645,US5730510,USD393607,USD394615,USD408326,US6109705,USD431015,USD436892,US6575540,US6626258,USD511481,USD565605,USD567823,USD588169,USD619930",,"US9102370,USD653681,USD680561,USD681071,USD768033,USD768034",38,6,,,C,2,,,2,2,1,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637626__?key=lEQ7cgkI3IvQhkge4UHIOStMXuGLH%2bk%2b&site=FOCUST3-KR
4,USD637623,Air intake snorkel for a vehicle,,,,Australian Performance Development Pty Ltd,,AU,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,Luxon; Peter|Randhawa; Manvir,1501,,"D15/005, D12/400",US29/371003,2010.09.09,,,,,USD637623,2011.05.10,AU 10804/2010 (2010.03.09),,,,,USD637623S,Nelson; T. Chase|Dworzecka; Ania K,Duane Morris LLP,,1,1,"The ornamental design for an air intake snorkel for a vehicle, as shown and described.",,"The ornamental design for an air intake snorkel for a vehicle, as shown and described.",,Alive,Alive,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,2025.05.10,"US6564766,US6637537,US6966292,USD532019,USD545725,US7281511,USD562749,US7685985,USD627369,2002/0179030(US6752115),2003/0019456(US6564766),2006/0185639,2006/0196462(US7281511),2010/0083928(US8137425),2010/0229817,2010/0229818(US8516986)",,"USD648745,USD649162,USD651964,USD680554,USD687071,USD687072,USD687075,USD693370,USD698831,USD719190,USD752109,USD774101",14,12,,,B+,5,,,1,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637623__?key=lEQ7cgkI3IvQhkge4UHIOXPSRLLI1BAW&site=FOCUST3-KR
5,USD637621,Vehicle filter,,,,Drager Safety AG&Co. KGaA,,DE,DRAGER SAFETY AG & CO KGAA,Romba; Marcus|Schmidt; Christoph,1501,,D15/005,US29/351788,2009.12.11,,,,,USD637621,2011.05.10,EP 20091626417 (2009.10.21),,,,,USD637621S,Brooks; Cathron C.|Stevens; Maurice,"Caesar, Rivise, Bernstein, Cohen & Pokotilow, Ltd.",,1,1,"The ornamental design for a vehicle filter, as shown and described.",,"The ornamental design for a vehicle filter, as shown and described.",,Alive,Alive,DRAGER SAFETY AG & CO KGAA,2025.05.10,"USD219103,USD307461,USD309974,USD346640,USD386463,USD471623,USD477659",,,7,0,,,C,2,,,1,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637621__?key=lEQ7cgkI3IvQhkge4UHIOUnPGCZoDWQF&site=FOCUST3-KR
6,USD637557,Car charging plug device with micro USB connections,,,,"T-Mobile USA, Inc.",,US,T MOBILE USA INC,Wegener; Douglas|Fujii; Tami|Realubit; Hector Nunez|Escamilla; Mario A. C.,1303,,D13/144,US29/365964,2010.07.16,,,,,USD637557,2011.05.10,,,,,,USD637557S,Bui; Daniel,"Lee & Hayes, PLLC",,1,1,"The ornamental design for a car charging plug device with micro USB connections, as shown and described.",,"The ornamental design for a car charging plug device with micro USB connections, as shown and described.",,Alive,Alive,T MOBILE USA INC,2025.05.10,"USD349096,USD398287,USD403663,USD409568,US5903135,USD455712,USD490058,USD525587,USD537776,USD569340,USD585824,USD628150,2005/0104557,2005/0151506,2010/0052613",,"US8988040,USD675988,USD704631,USD705159,USD780694,USD790475",15,6,,,B+,5,,,1,1,4,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637557__?key=lEQ7cgkI3IvQhkge4UHIOVV%2bu0apKU6Y&site=FOCUST3-KR
7,USD637547,Tire tread for a vehicle tire,,,,Continental Reifen Deutschland GmbH,,DE,CONTINENTAL REIFEN DEUTSCHLAND GMBH,Schlittenhard; Jan|Diensthuber; Franz,1215,,D12/531,US29/379374,2010.11.18,,,,,USD637547,2011.05.10,EM 001709114 (2010.05.18),,,,,"CA137175S, USD637547S",Cadmus; Stacia,"Greenberg, Laurence A.; Stemer, Werner H.; Locher, Ralph E.",,1,1,"The ornamental design for a tire tread of a vehicle tire, as shown and described.",,"The ornamental design for a tire tread of a vehicle tire, as shown and described.",,Alive,Alive,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2025.05.10,"USD320968,USD342224,US6619352,USD490769,USD502911,USD530661,USD556669,USD566037,USD593932,USD600194,USD611890,USD626496",,"USD667777,USD700880,USD725585,USD738289,USD741784,USD756893",12,6,,,B0,4,,,2,2,2,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637547__?key=lEQ7cgkI3IvQhkge4UHIOZEvi8qrkwrz&site=FOCUST3-KR
8,USD637530,Grille of a truck vehicle,,,,"International Truck Intellectual Property Company, LLC",,US,INTERNATIONAL TRUCK INTELLECTUAL PROPERTY CO LLC,Aris; Steve Charles|Durmisevich; Glen Joel|Hardin; Christian Michael|McCowan; George|Song; John|Koonce; Christopher Lee|Oberly; Mark Douglas,1216,,D12/163,US29/367777,2010.08.12,,,,,USD637530,2011.05.10,,,,,,"CA138486S, USD637530S",Brown; Melody N,"Calfa, Jeffrey P.; Bach, Mark C.; Askew, Gerald W.",,1,1,"The ornamental design for a grille of a truck vehicle, as shown and described.",,"The ornamental design for a grille of a truck vehicle, as shown and described.",,Alive,Alive,NAVISTAR INTERNATIONAL TRANSPORTATION CORP|INTERNATIONAL TRUCK INTELLECTUAL PROPERTY CO LLC|INTERNATIONAL ENGINE INTELLECTUAL PROPERTY CO LLC,2025.05.10,"USD592561,USD608697,USD619054,USD627692",,"USD645797,USD673089,USD673486,USD691072,USD698288,USD708555,USD775555,USD786742,USD787384,USD790410",4,10,,,B+,5,,,2,2,7,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637530__?key=lEQ7cgkI3IvQhkge4UHIOcLbPRAvElud&site=FOCUST3-KR
9,USD637522,Motor vehicle body,,,,Aero Investments Pty Ltd,,AU,AERO INVESTMENTS PTY LTD,Ransom; Peter T.|Ransom; Todd|MacDonald; Brian P|Hinchy; Michael|Bartie; Scott,1208,,D12/092,US29/377916,2010.10.27,,,,,USD637522,2011.05.10,AU 201012448 (2010.06.15),,,,,"CA136949S, USD637522S",Brown; Melody N,"Klein, O'Neill & Singh, LLP",,1,1,"The ornamental design for a motor vehicle body, as shown and described.",,"The ornamental design for a motor vehicle body, as shown and described.",,Alive,Alive,AERO INVESTMENTS PTY LTD,2025.05.10,"USD612769,USD617683,USD625664,USD628124",,"USD672699,USD673079,USD679634",4,3,,,C,2,,,2,2,5,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637522__?key=lEQ7cgkI3IvQhkge4UHIOaTwPnGjZtQT&site=FOCUST3-KR
10,USD637509,Low profile light bar for emergency vehicles,,,,,,,,Shin; David D,1005,,D10/114.4,US29/345676,2009.10.20,,,,,USD637509,2011.05.10,,,,,,USD637509S,Veynar; Caron D|Kirschbaum; George D,"Buhler, Kirk A.; Buhler & Associates",,1,1,"The ornamental design of a low profile light bar for emergency vehicles, invention as shown and described.",,"The ornamental design of a low profile light bar for emergency vehicles, invention as shown and described.",,Alive,Alive,MEGA DISTRIBUTION INT'L INC,2025.05.10,"US2814029,US3278741,USD249250,US4357595,USD274001,US4620268,US4937711,US4956753,USD324921,USD345316,USD355142,US5452188,USD400675,USD410402,USD419249,USD432038,USD432444,USD442106,US6461008,USD469711,USD476253,US6590502,US6623151,USD491482,US6788217,US6789930,US6814459,US6822578,USD499976,US7033036,USD545230,US7394398,USD585318,2007/0216523(US8292478),2008/0080164(US7524075)",,"USD647418,USD649077,USD703082,USD737713,USD742269,USD742270,USD779354,USD779985",35,8,,,,,,,1,1,1,0,US,Y,2015.08.05,http://service.wisdomain.net/FullTextService/View/USD0637509__?key=lEQ7cgkI3IvQhkge4UHIORrRWWXHd%2bYY&site=FOCUST3-KR
